"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income"
1984,"USA","United States",235824902,1273282,18692,84233,485008,685349,10608473,2984434,6591874,1032165,"22,415"
1984,"AK","Alaska",5e+05,3108,58,458,547,2045,27468,6184,18140,3144,"32,356"
1984,"AL","Alabama",3990000,17204,374,1002,3833,11995,138487,39970,89198,9319,"17,310"
1984,"AR","Arkansas",2349000,7549,176,697,1587,5089,71554,20810,46807,3937,"15,674"
1984,"AZ","Arizona",3053000,15756,238,1316,4003,10199,182670,52327,118604,11739,"21,425"
1984,"CA","California",25622000,195589,2717,11702,83924,97246,1461731,443094,857328,161309,"25,287"
1984,"CO","Colorado",3178000,14548,184,1238,3623,9503,191104,49619,128859,12626,"25,801"
1984,"CT","Connecticut",3154000,12422,122,759,6009,5532,133573,35607,84630,13336,"29,951"
1984,"DC","District of Columbia",623000,10725,175,366,6087,4097,42799,10954,27471,4374,"20,408"
1984,"DE","Delaware",613000,2671,25,300,711,1635,28021,6678,19747,1596,"25,819"
1984,"FL","Florida",10976000,95270,1264,5570,30311,58125,653429,198446,408153,46830,"19,785"
1984,"GA","Georgia",5837000,27935,546,2356,8414,16619,234621,70310,147251,17060,"19,984"
1984,"HI","Hawaii",1039000,2409,34,314,1204,857,54573,12609,38329,3635,"28,877"
1984,"IA","Iowa",2910000,5781,59,375,1114,4233,104785,25357,74818,4610,"19,863"
1984,"ID","Idaho",1001000,2355,34,187,244,1890,34398,8751,24138,1509,"21,092"
1984,"IL","Illinois",11511000,83441,1033,3594,34965,43849,527124,135068,324649,67407,"23,752"
1984,"IN","Indiana",5498000,16781,303,1372,5435,9671,199258,51019,128941,19298,"22,770"
1984,"KS","Kansas",2438000,8147,89,669,1745,5644,97646,25577,67028,5041,"24,629"
1984,"KY","Kentucky",3723000,10342,244,826,2631,6641,99803,29234,63860,6709,"17,680"
1984,"LA","Louisiana",4462000,30251,575,1864,8501,19311,197778,54711,129348,13719,"18,949"
1984,"MA","Massachusetts",5798000,30362,211,1627,10122,18402,235675,63756,123214,48705,"26,959"
1984,"MD","Maryland",4349000,34455,354,1640,13097,19364,192325,51484,123567,17274,"29,708"
1984,"ME","Maine",1156000,1832,20,155,305,1352,38944,10267,26811,1866,"20,648"
1984,"MI","Michigan",9075000,68979,879,5880,27832,34388,525979,149209,298192,78578,"22,965"
1984,"MN","Minnesota",4162000,8802,74,1051,2960,4717,151082,41242,101240,8600,"24,436"
1984,"MO","Missouri",5008000,23071,358,1325,7053,14335,192123,55863,119749,16511,"20,775"
1984,"MT","Montana",824000,1958,36,170,226,1526,36380,7070,27080,2230,"19,536"
