"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
2008,"USA","United States",304059724,1394461,16465,90750,443563,843683,9774152,2228887,6586206,959059,"50,303",37.83945646
2008,"AK","Alaska",686293,4475,27,447,645,3356,20090,3237,15225,1628,"63,989",36.34344969
2008,"AL","Alabama",4661900,21110,351,1618,7346,11795,190416,50411,126539,13466,"44,476",31.59514408
2008,"AR","Arkansas",2855390,14649,165,1463,2777,10244,110360,33912,69905,6543,"39,586",26.51502359
2008,"AZ","Arizona",6500180,31567,462,2200,9809,19096,266653,58606,169460,38587,"46,914",34.35161359
2008,"CA","California",36756666,185329,2142,8903,69388,104896,1080996,237811,650656,192529,"57,014",38.57988594
2008,"CO","Colorado",4939456,17480,165,2151,3404,11760,139340,28054,97937,13349,"60,943",45.34356529
2008,"CT","Connecticut",3501252,10737,132,680,4043,5882,87210,15107,63212,8891,"64,682",46.57363728
2008,"DC","District of Columbia",591833,8509,186,186,4430,3707,30211,3788,19958,6465,"55,590",54.25251004
2008,"DE","Delaware",873092,6187,57,371,1847,3912,31385,6783,22045,2557,"50,702",37.04270839
2008,"FL","Florida",18328340,126256,1168,5972,36268,82848,758889,188472,506902,63515,"44,857",36.78280856
2008,"GA","Georgia",9685744,47353,640,2334,17808,26571,387917,100564,247709,39644,"46,227",36.17883588
2008,"HI","Hawaii",1288198,3510,26,363,1085,2036,45944,9404,31424,5116,"61,521",42.30059352
2008,"IA","Iowa",3002555,8651,77,937,1249,6388,73273,16598,52299,4376,"50,142",38.80584768
2008,"ID","Idaho",1523816,3680,23,579,239,2839,31940,6748,23532,1660,"47,420",34.84184326
2008,"IL","Illinois",12901563,67780,790,4118,24054,38818,378355,78968,266815,32572,"53,254",40.80269829
2008,"IN","Indiana",6376792,21525,322,1711,7580,11912,213639,48805,147334,17500,"46,520",33.37142908
2008,"KS","Kansas",2802134,11554,113,1226,1681,8534,94882,19651,67826,7405,"47,877",40.53304029
2008,"KY","Kentucky",4269245,12690,201,1457,4080,6952,114492,29556,77279,7657,"41,148",29.18277239
2008,"LA","Louisiana",4410796,29613,544,1250,6241,21578,171179,45524,112091,13564,"39,563",26.96655692
2008,"MA","Massachusetts",6497967,30137,166,1751,7077,21143,155919,36251,106913,12755,"60,320",49.60953967
2008,"MD","Maryland",5633597,35393,493,1127,13203,20570,198165,38849,133983,25333,"63,711",43.86954885
2008,"ME","Maine",1316456,1572,31,379,333,829,32433,6559,24695,1179,"47,228",36.81975902
2008,"MI","Michigan",10003422,51512,554,4507,13246,33205,295100,74787,184558,35755,"49,788",35.6484175
2008,"MN","Minnesota",5220393,13853,110,1805,4179,7759,149517,26558,112764,10195,"54,925",45.04982247
2008,"MO","Missouri",5911605,29701,456,1612,7395,20238,216522,45763,150002,20757,"46,038",34.89582162
2008,"MS","Mississippi",2938618,8942,236,958,3079,4669,85488,25506,53730,6252,"36,446",29.28087923
2008,"MT","Montana",967440,3013,40,358,204,2411,26300,3689,20834,1777,"42,900",37.64964784
2008,"NC","North Carolina",9222414,43125,599,2296,14323,25907,372763,111556,234480,26727,"42,930",36.94301085
2008,"ND","North Dakota",641481,1441,11,331,73,1026,13029,2336,9782,911,"49,631",45.15158877
2008,"NE","Nebraska",1783432,5570,69,601,1297,3603,51350,8731,38394,4225,"50,728",40.45729834
2008,"NH","New Hampshire",1315809,2054,14,385,421,1234,28387,4266,22714,1407,"66,176",46.0186626
2008,"NJ","New Jersey",8682661,28351,376,1122,12701,14152,199127,40402,138545,20180,"65,306",44.62177871
2008,"NM","New Mexico",1984356,12967,161,1118,2151,9537,75718,20706,46995,8017,"42,102",33.40893749
2008,"NV","Nevada",2600167,18973,165,1106,6486,11216,90006,24254,49814,15938,"54,744",30.07179958
2008,"NY","New York",19490297,77546,836,2798,31787,42125,388599,65544,297962,25093,"50,461",43.74698473
2008,"OH","Ohio",11485910,40436,547,4531,18706,16652,391667,102428,260788,28451,"46,934",34.86692832
2008,"OK","Oklahoma",3642361,19359,215,1471,3698,13975,126535,35247,80265,11023,"46,111",31.31177141
2008,"OR","Oregon",3790060,9909,87,1183,2656,5983,125169,21115,92677,11377,"51,727",38.56375101
2008,"PA","Pennsylvania",12448279,51044,705,3485,18873,27981,300294,58687,219115,22492,"51,402",37.92836812
2008,"RI","Rhode Island",1050788,2656,31,282,880,1463,29895,5766,20926,3203,"53,241",41.39298233
2008,"SC","South Carolina",4479800,32746,307,1686,6595,24158,189950,45964,126316,17670,"42,155",34.43712472
2008,"SD","South Dakota",804194,2227,37,562,134,1494,13867,2683,10266,918,"51,600",39.36401624
2008,"TN","Tennessee",6214888,44913,412,2078,10804,31619,251089,65093,166793,19203,"39,702",31.26716496
2008,"TX","Texas",24326974,123585,1370,8055,37739,76421,969865,230046,654435,85384,"46,490",33.27211217
2008,"UT","Utah",2736424,6165,41,915,1421,3788,92373,14766,70299,7308,"62,537",40.24782434
2008,"VA","Virginia",7769089,20031,370,1794,7470,10397,196726,32188,151191,13347,"61,985",43.42929598
2008,"VT","Vermont",621270,854,17,133,93,611,15903,3515,11802,586,"50,706",43.58427789
2008,"WA","Washington",6549224,21888,193,2653,6419,12623,249283,53136,167013,29134,"56,631",42.01641278
2008,"WI","Wisconsin",5627967,15507,146,1128,5163,9070,155456,27459,116456,11541,"51,200",37.99441652
2008,"WV","West Virginia",1814468,5006,67,389,896,3654,45971,10840,31967,3164,"37,994",25.57662533
2008,"WY","Wyoming",532668,1330,12,185,87,1046,14515,2198,11584,733,"53,337",35.99127356
2009,"USA","United States",307006550,1325896,15399,89241,408742,812514,9337060,2203313,6338095,795652,"49,777",38.06573662
2009,"AK","Alaska",698473,4424,22,513,654,3235,20538,3600,15251,1687,"61,604",35.05662716
2009,"AL","Alabama",4708708,21194,322,1504,6265,13103,178007,48844,118072,11091,"39,980",31.65582731
2009,"AR","Arkansas",2889450,14905,179,1378,2576,10772,109078,34753,68228,6097,"36,538",26.99975592
2009,"AZ","Arizona",6595778,28128,380,2279,8199,17270,236721,54308,155976,26437,"45,739",34.75711828
2009,"CA","California",36961664,174934,1972,8713,64093,100156,1009433,230198,615402,163833,"56,134",38.71533801
