"state","year","ENROLL","TOTAL_REVENUE","TOTAL_EXPENDITURE","state_abbr","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
"Alabama",2008,742919,7726213,7847387,"AL",4661900,21110,351,1618,7346,11795,190416,50411,126539,13466,"44,476",31.59514408
"Alaska",2008,130624,2188587,2274819,"AK",686293,4475,27,447,645,3356,20090,3237,15225,1628,"63,989",36.34344969
"Arizona",2008,987332,9272152,9581201,"AZ",6500180,31567,462,2200,9809,19096,266653,58606,169460,38587,"46,914",34.35161359
"Arkansas",2008,476110,4608356,4720720,"AR",2855390,14649,165,1463,2777,10244,110360,33912,69905,6543,"39,586",26.51502359
"California",2008,6258421,74626928,76618865,"CA",36756666,185329,2142,8903,69388,104896,1080996,237811,650656,192529,"57,014",38.57988594
"Colorado",2008,796824,8070129,8884786,"CO",4939456,17480,165,2151,3404,11760,139340,28054,97937,13349,"60,943",45.34356529
"Connecticut",2008,544417,9322225,9046750,"CT",3501252,10737,132,680,4043,5882,87210,15107,63212,8891,"64,682",46.57363728
"Delaware",2008,114062,1694998,1746925,"DE",873092,6187,57,371,1847,3912,31385,6783,22045,2557,"50,702",37.04270839
"District of Columbia",2008,58191,1224312,1224785,"DC",591833,8509,186,186,4430,3707,30211,3788,19958,6465,"55,590",54.25251004
"Florida",2008,2645680,30001821,31219589,"FL",18328340,126256,1168,5972,36268,82848,758889,188472,506902,63515,"44,857",36.78280856
"Georgia",2008,1646010,18683630,19172087,"GA",9685744,47353,640,2334,17808,26571,387917,100564,247709,39644,"46,227",36.17883588
"Hawaii",2008,179897,2541703,2242408,"HI",1288198,3510,26,363,1085,2036,45944,9404,31424,5116,"61,521",42.30059352
"Idaho",2008,265844,2151476,2001328,"ID",1523816,3680,23,579,239,2839,31940,6748,23532,1660,"47,420",34.84184326
"Illinois",2008,2099118,25431714,25696866,"IL",12901563,67780,790,4118,24054,38818,378355,78968,266815,32572,"53,254",40.80269829
"Indiana",2008,1033329,11340157,10865851,"IN",6376792,21525,322,1711,7580,11912,213639,48805,147334,17500,"46,520",33.37142908
"Iowa",2008,485114,5496908,5495756,"IA",3002555,8651,77,937,1249,6388,73273,16598,52299,4376,"50,142",38.80584768
"Kansas",2008,467743,5378095,5122049,"KS",2802134,11554,113,1226,1681,8534,94882,19651,67826,7405,"47,877",40.53304029
"Kentucky",2008,666019,6637062,6793215,"KY",4269245,12690,201,1457,4080,6952,114492,29556,77279,7657,"41,148",29.18277239
"Louisiana",2008,662971,7751886,7599993,"LA",4410796,29613,544,1250,6241,21578,171179,45524,112091,13564,"39,563",26.96655692
"Maine",2008,193058,2594335,2582293,"ME",1316456,1572,31,379,333,829,32433,6559,24695,1179,"47,228",36.81975902
"Maryland",2008,845700,13098112,12739693,"MD",5633597,35393,493,1127,13203,20570,198165,38849,133983,25333,"63,711",43.86954885
"Massachusetts",2008,937677,14633578,14631545,"MA",6497967,30137,166,1751,7077,21143,155919,36251,106913,12755,"60,320",49.60953967
"Michigan",2008,1661936,20441973,20703780,"MI",10003422,51512,554,4507,13246,33205,295100,74787,184558,35755,"49,788",35.6484175
"Minnesota",2008,807929,10118118,10462624,"MN",5220393,13853,110,1805,4179,7759,149517,26558,112764,10195,"54,925",45.04982247
"Mississippi",2008,493302,4449009,4363308,"MS",2938618,8942,236,958,3079,4669,85488,25506,53730,6252,"36,446",29.28087923
"Missouri",2008,898350,9335599,9900419,"MO",5911605,29701,456,1612,7395,20238,216522,45763,150002,20757,"46,038",34.89582162
"Montana",2008,142695,1562815,1557678,"MT",967440,3013,40,358,204,2411,26300,3689,20834,1777,"42,900",37.64964784
"Nebraska",2008,290912,3383157,3325663,"NE",1783432,5570,69,601,1297,3603,51350,8731,38394,4225,"50,728",40.45729834
"Nevada",2008,428776,4338601,4881218,"NV",2600167,18973,165,1106,6486,11216,90006,24254,49814,15938,"54,744",30.07179958
"New Hampshire",2008,195668,2715463,2715961,"NH",1315809,2054,14,385,421,1234,28387,4266,22714,1407,"66,176",46.0186626
"New Jersey",2008,1353191,25916004,26168480,"NJ",8682661,28351,376,1122,12701,14152,199127,40402,138545,20180,"65,306",44.62177871
"New Mexico",2008,329045,3569311,3599724,"NM",1984356,12967,161,1118,2151,9537,75718,20706,46995,8017,"42,102",33.40893749
"New York",2008,2727552,53147343,54870811,"NY",19490297,77546,836,2798,31787,42125,388599,65544,297962,25093,"50,461",43.74698473
"North Carolina",2008,1408316,13610326,13731201,"NC",9222414,43125,599,2296,14323,25907,372763,111556,234480,26727,"42,930",36.94301085
"North Dakota",2008,94959,1104803,1085970,"ND",641481,1441,11,331,73,1026,13029,2336,9782,911,"49,631",45.15158877
"Ohio",2008,1743920,22746589,21951104,"OH",11485910,40436,547,4531,18706,16652,391667,102428,260788,28451,"46,934",34.86692832
"Oklahoma",2008,641682,5780151,5667749,"OK",3642361,19359,215,1471,3698,13975,126535,35247,80265,11023,"46,111",31.31177141
"Oregon",2008,562632,6107684,6407512,"OR",3790060,9909,87,1183,2656,5983,125169,21115,92677,11377,"51,727",38.56375101
"Pennsylvania",2008,1718588,26357235,26597713,"PA",12448279,51044,705,3485,18873,27981,300294,58687,219115,22492,"51,402",37.92836812
"Rhode Island",2008,143812,2173888,2175172,"RI",1050788,2656,31,282,880,1463,29895,5766,20926,3203,"53,241",41.39298233
"South Carolina",2008,710685,7743317,8167262,"SC",4479800,32746,307,1686,6595,24158,189950,45964,126316,17670,"42,155",34.43712472
"South Dakota",2008,121606,1190917,1172715,"SD",804194,2227,37,562,134,1494,13867,2683,10266,918,"51,600",39.36401624
"Tennessee",2008,966963,8086152,8488521,"TN",6214888,44913,412,2078,10804,31619,251089,65093,166793,19203,"39,702",31.26716496
"Texas",2008,4581517,46245975,50205827,"TX",24326974,123585,1370,8055,37739,76421,969865,230046,654435,85384,"46,490",33.27211217
"Utah",2008,556314,4198001,4337917,"UT",2736424,6165,41,915,1421,3788,92373,14766,70299,7308,"62,537",40.24782434
"Vermont",2008,87919,1888635,1888133,"VT",621270,854,17,133,93,611,15903,3515,11802,586,"50,706",43.58427789
"Virginia",2008,1230857,14768120,15236306,"VA",7769089,20031,370,1794,7470,10397,196726,32188,151191,13347,"61,985",43.42929598
"Washington",2008,1029576,11195224,11677666,"WA",6549224,21888,193,2653,6419,12623,249283,53136,167013,29134,"56,631",42.01641278
"West Virginia",2008,281735,2965828,3068910,"WV",1814468,5006,67,389,896,3654,45971,10840,31967,3164,"37,994",25.57662533
"Wisconsin",2008,867929,10619354,10545964,"WI",5627967,15507,146,1128,5163,9070,155456,27459,116456,11541,"51,200",37.99441652
"Wyoming",2008,85991,1602514,1517325,"WY",532668,1330,12,185,87,1046,14515,2198,11584,733,"53,337",35.99127356
"Alabama",2009,745668,7186390,7815467,"AL",4708708,21194,322,1504,6265,13103,178007,48844,118072,11091,"39,980",31.65582731
"Alaska",2009,130236,2158970,2396412,"AK",698473,4424,22,513,654,3235,20538,3600,15251,1687,"61,604",35.05662716
"Arizona",2009,981303,8802515,9580393,"AZ",6595778,28128,380,2279,8199,17270,236721,54308,155976,26437,"45,739",34.75711828
"Arkansas",2009,474423,4753142,5017352,"AR",2889450,14905,179,1378,2576,10772,109078,34753,68228,6097,"36,538",26.99975592
"California",2009,6234155,73958896,74766086,"CA",36961664,174934,1972,8713,64093,100156,1009433,230198,615402,163833,"56,134",38.71533801
"Colorado",2009,812068,8310673,8682489,"CO",5024748,17022,159,2269,3371,11223,134196,26637,95079,12480,"55,930",45.82570947
"Connecticut",2009,539250,9681268,9323053,"CT",3518288,10588,106,657,4001,5824,82625,15172,59992,7461,"64,851",46.35168198
"Delaware",2009,116804,1718993,1798244,"DE",885122,5713,41,395,1680,3597,29685,6943,20836,1906,"52,114",38.55481759
"District of Columbia",2009,44331,801008,805362,"DC",599657,8089,145,150,4404,3390,28495,3696,19267,5532,"53,141",53.61646485
"Florida",2009,2623067,26494500,28867429,"FL",18537969,113541,1017,5501,30911,76112,712010,181884,479867,50259,"45,631",36.39822582
"Georgia",2009,1649598,17972839,19025136,"GA",9829211,42073,566,2323,14631,24553,360985,98606,229216,33163,"43,340",36.15208851
"Hawaii",2009,179478,2689758,2318671,"HI",1295178,3550,23,385,1030,2112,47516,9244,33415,4857,"55,649",42.88889369
"Idaho",2009,267951,2182273,2078446,"ID",1545801,3805,24,575,254,2952,31220,6682,23066,1472,"46,778",34.27474052
"Illinois",2009,2117291,26987426,27716187,"IL",12910409,64185,773,3901,22923,36588,353347,77850,248821,26676,"52,870",41.40412255
"Indiana",2009,1028259,12999357,11218398,"IN",6423113,21455,312,1621,7347,12175,199907,48880,137190,13837,"44,305",32.97842091
"Iowa",2009,487559,5732319,5732186,"IA",3007856,8485,38,890,1201,6356,70080,16419,49757,3904,"50,721",40.10439718
"Kansas",2009,470445,5615208,5827751,"KS",2818747,11460,125,1179,1786,8370,90930,19473,65499,5958,"44,717",39.97989792
"Kentucky",2009,669858,6706922,6831006,"KY",4314113,11000,184,1531,3642,5643,108914,29880,72938,6096,"42,664",30.44505004
"Louisiana",2009,662774,7984550,8053960,"LA",4492076,28878,529,1351,6150,20848,172619,46928,114102,11589,"45,433",28.09479525
"Maine",2009,187372,2623127,2624504,"ME",1318301,1580,26,375,399,780,31706,6729,23955,1022,"47,502",38.55963741
"Maryland",2009,843781,13147931,12757599,"MD",5699478,33625,440,1156,12007,20022,182295,36905,125771,19619,"64,186",44.39865014
"Massachusetts",2009,932437,15298022,15174814,"MA",6593587,30503,173,1734,7467,21129,153178,34515,106799,11864,"59,373",50.19783472
"Michigan",2009,1537515,19616665,19992550,"MI",9969727,49825,623,4524,12427,32251,284019,76046,178628,29345,"45,994",35.76906542
"Minnesota",2009,800831,10353784,11193640,"MN",5266214,12874,74,1789,3619,7392,139286,25580,105160,8546,"56,090",45.22317912
"Mississippi",2009,491194,4392101,4552756,"MS",2951996,8451,194,991,2969,4297,87327,29559,52329,5439,"35,078",28.86816442
"Missouri",2009,893807,9472520,10227305,"MO",5987580,29513,387,1606,7437,20083,201783,43591,140764,17428,"48,769",34.90915103
"Montana",2009,141782,1607935,1622485,"MT",974989,2798,32,357,228,2181,24826,3686,19528,1612,"40,437",38.26286872
"Nebraska",2009,292161,3522481,3523803,"NE",1796619,5199,41,617,1220,3321,49731,8726,37496,3509,"49,595",41.22235929
"Nevada",2009,430985,4442101,4577881,"NV",2643085,18639,156,1024,6028,11431,80976,22115,46463,12398,"51,434",30.36806816
"New Hampshire",2009,197024,2816162,2757401,"NH",1324575,2125,11,399,454,1261,28790,4915,22748,1127,"64,131",44.64006384
"New Jersey",2009,1354912,26510413,26145334,"NJ",8707739,27113,319,1041,11639,14114,180752,36945,128303,15504,"64,777",44.5265434
"New Mexico",2009,328737,3703477,3945515,"NM",2009671,12709,198,1069,1932,9510,74639,21955,46182,6502,"43,542",33.88314905
"New York",2009,2696688,55885116,57851481,"NY",19541453,75110,781,2582,28141,43606,377537,62769,292897,21871,"50,216",44.578078
