state,year,attainment rate
United States (with PR),2008,37.83945646
United States (with PR),2009,38.06573662
United States (with PR),2010,38.2820515
United States (with PR),2011,38.7056373
United States (with PR),2012,39.38894426
United States (with PR),2013,39.94397742
United States (with PR),2014,45.3106221
United States (with PR),2015,45.81465194
United States (with PR),2016,46.86114055
United States (with PR),2017,47.63867354
United States (with PR),2018,51.25092652
United States (with PR),2019,51.86485858
Alabama,2008,31.59514408
Alabama,2009,31.65582731
Alabama,2010,31.46104307
Alabama,2011,31.90540343
Alabama,2012,33.05444933
Alabama,2013,33.63876243
Alabama,2014,36.65169421
Alabama,2015,37.09836911
Alabama,2016,37.87550069
Alabama,2017,39.9514936
Alabama,2018,44.01104019
Alabama,2019,45.11473276
Alaska,2008,36.34344969
Alaska,2009,35.05662716
Alaska,2010,37.27916262
Alaska,2011,34.41950338
Alaska,2012,37.02913224
Alaska,2013,36.46741799
Alaska,2014,43.3258697
Alaska,2015,44.88364302
Alaska,2016,45.29043037
Alaska,2017,41.76322393
Alaska,2018,48.22822139
Alaska,2019,49.50284925
Arizona,2008,34.35161359
Arizona,2009,34.75711828
Arizona,2010,35.10941689
Arizona,2011,35.76374591
Arizona,2012,36.67619716
Arizona,2013,36.8861156
Arizona,2014,48.79086035
Arizona,2015,48.61853407
Arizona,2016,49.74262039
Arizona,2017,52.58582452
Arizona,2018,53.97070955
Arizona,2019,53.75584914
Arkansas,2008,26.51502359
Arkansas,2009,26.99975592
Arkansas,2010,27.92355605
Arkansas,2011,28.18071273
Arkansas,2012,29.30201721
Arkansas,2013,28.78097044
Arkansas,2014,38.76569141
Arkansas,2015,39.51463697
Arkansas,2016,39.8760262
Arkansas,2017,41.50075759
Arkansas,2018,43.55486829
Arkansas,2019,43.55786791
California,2008,38.57988594
California,2009,38.71533801
California,2010,38.78140713
California,2011,38.90135893
California,2012,39.6946075
California,2013,39.6157268
California,2014,47.21223178
California,2015,47.53809144
California,2016,48.35560166
California,2017,49.06715393
California,2018,51.10009467
California,2019,51.97862659
Colorado,2008,45.34356529
Colorado,2009,45.82570947
Colorado,2010,45.98093867
Colorado,2011,46.98424113
Colorado,2012,47.46684123
Colorado,2013,47.58703541
Colorado,2014,54.15967277
Colorado,2015,54.74182552
Colorado,2016,55.66134324
Colorado,2017,56.52734758
Colorado,2018,59.80131377
Colorado,2019,61.04810083
Connecticut,2008,46.57363728
Connecticut,2009,46.35168198
Connecticut,2010,45.83907425
Connecticut,2011,46.4027839
Connecticut,2012,47.45544286
Connecticut,2013,47.80480516
Connecticut,2014,53.21253568
Connecticut,2015,53.52665841
Connecticut,2016,53.79273776
Connecticut,2017,54.10892031
Connecticut,2018,57.29324574
Connecticut,2019,57.0893766
Delaware,2008,37.04270839
Delaware,2009,38.55481759
Delaware,2010,37.43361574
Delaware,2011,37.59555582
Delaware,2012,38.38141143
Delaware,2013,39.87862092
Delaware,2014,43.73931736
Delaware,2015,44.13950046
Delaware,2016,43.21432907
Delaware,2017,42.38132232
Delaware,2018,44.13481135
Delaware,2019,47.90522117
Florida,2008,36.78280856
Florida,2009,36.39822582
Florida,2010,36.49537229
Florida,2011,36.95783466
Florida,2012,38.08408672
Florida,2013,38.59030799
Florida,2014,45.8549363
Florida,2015,46.86338277
Florida,2016,46.88026089
Florida,2017,49.27104765
Florida,2018,52.18345747
Florida,2019,52.75092791
Georgia,2008,36.17883588
Georgia,2009,36.15208851
Georgia,2010,36.11967184
Georgia,2011,36.3662717
Georgia,2012,37.37309768
Georgia,2013,37.54925542
Georgia,2014,46.03621861
Georgia,2015,47.11157538
Georgia,2016,47.99134948
Georgia,2017,49.61444337
Georgia,2018,52.09925387
Georgia,2019,52.79662056
Hawaii,2008,42.30059352
Hawaii,2009,42.88889369
Hawaii,2010,41.62241596
Hawaii,2011,41.55083331
Hawaii,2012,42.6090977
Hawaii,2013,44.25969356
Hawaii,2014,45.48896554
Hawaii,2015,45.72196201
Hawaii,2016,46.31934343
Hawaii,2017,46.88530821
Hawaii,2018,51.03140945
Hawaii,2019,50.7201276
Idaho,2008,34.84184326
Idaho,2009,34.27474052
Idaho,2010,34.73023611
Idaho,2011,36.46644186
Idaho,2012,36.07902174
Idaho,2013,36.92554601
Idaho,2014,37.71056536
Idaho,2015,38.72655758
Idaho,2016,40.57584439
Idaho,2017,40.65229147
Idaho,2018,45.24854945
Idaho,2019,46.48779725
Illinois,2008,40.80269829
Illinois,2009,41.40412255
Illinois,2010,41.30366052
Illinois,2011,41.7466299
Illinois,2012,42.5212325
Illinois,2013,42.97655079
Illinois,2014,49.6119717
Illinois,2015,50.0884187
Illinois,2016,50.9752657
Illinois,2017,51.24358595
Illinois,2018,54.42900189
Illinois,2019,55.22491455
Indiana,2008,33.37142908
Indiana,2009,32.97842091
Indiana,2010,33.24119148
Indiana,2011,33.80980163
Indiana,2012,34.39148741
Indiana,2013,34.72730382
Indiana,2014,40.87302605
Indiana,2015,41.14932278
Indiana,2016,41.9312584
Indiana,2017,43.42748102
Indiana,2018,48.50528206
Indiana,2019,48.33529671
Iowa,2008,38.80584768
Iowa,2009,40.10439718
Iowa,2010,39.68346614
Iowa,2011,41.14056562
Iowa,2012,41.80952229
Iowa,2013,41.76222154
Iowa,2014,47.2723366
Iowa,2015,46.35123482
Iowa,2016,47.57189257
Iowa,2017,49.3540211
Iowa,2018,53.13357205
Iowa,2019,53.40845217
Kansas,2008,40.53304029
Kansas,2009,39.97989792
Kansas,2010,40.49728867
Kansas,2011,40.67272733
Kansas,2012,41.33383254
Kansas,2013,41.78172443
Kansas,2014,49.25656221
Kansas,2015,49.80165779
Kansas,2016,50.71355977
Kansas,2017,51.98252323
Kansas,2018,54.80433359
Kansas,2019,54.86129208
Kentucky,2008,29.18277239
Kentucky,2009,30.44505004
Kentucky,2010,30.03756368
Kentucky,2011,30.76912835
Kentucky,2012,31.68803985
Kentucky,2013,32.92469133
Kentucky,2014,42.45390658
Kentucky,2015,43.6312602
Kentucky,2016,44.55327247
Kentucky,2017,45.51890879
Kentucky,2018,49.13607486
Kentucky,2019,49.39037831
Louisiana,2008,26.96655692
Louisiana,2009,28.09479525
Louisiana,2010,28.22922176
Louisiana,2011,27.86435311
Louisiana,2012,29.06613308
Louisiana,2013,29.56526216
Louisiana,2014,44.66164482
Louisiana,2015,45.92846755
