STATE,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_EXPENDITURE
Alabama,1992,,2678885,2653798
Alaska,1992,,1049591,972488
Arizona,1992,,3258079,3401580
Arkansas,1992,,1711959,1743022
California,1992,,26260025,27138832
Colorado,1992,,3185173,3264826
Connecticut,1992,,3834302,3721338
Delaware,1992,,645233,638784
District of Columbia,1992,,709480,742893
Florida,1992,,11506299,11305642
Georgia,1992,,5536901,5535942
Hawaii,1992,,996809,1040121
Idaho,1992,,859329,886161
Illinois,1992,,9748650,9850560
Indiana,1992,,5060274,5182754
Iowa,1992,,2663934,2795774
Kansas,1992,,2245348,2234915
Kentucky,1992,,2642902,2518082
Louisiana,1992,,3341253,3362853
Maine,1992,,1206819,1228869
Maryland,1992,,4658498,4698374
Massachusetts,1992,,5517659,5245560
Michigan,1992,,9963137,10170688
Minnesota,1992,,4684684,4981125
Mississippi,1992,,1684706,1691990
Missouri,1992,,4043682,4197600
Montana,1992,,828983,781009
Nebraska,1992,,1542413,1534046
Nevada,1992,,1097076,1251651
New Hampshire,1992,,1063391,1066647
New Jersey,1992,,10814689,10452340
New Mexico,1992,,1330091,1339829
New York,1992,,21630179,22815611
North Carolina,1992,,5236099,5418687
North Dakota,1992,,559481,553732
Ohio,1992,,9285961,9483822
Oklahoma,1992,,2396705,2515272
Oregon,1992,,2773959,2898210
Pennsylvania,1992,,11257252,11539253
Rhode Island,1992,,883073,863404
South Carolina,1992,,2842626,2922293
South Dakota,1992,,551668,593126
Tennessee,1992,,3080490,3132516
Texas,1992,,16264180,16119084
Utah,1992,,1555799,1547980
Vermont,1992,,812377,800377
Virginia,1992,,5631293,5744469
Washington,1992,,4870832,5360834
West Virginia,1992,,1585099,1587968
Wisconsin,1992,,4993909,5181471
Wyoming,1992,,629748,624941
Alabama,1993,727716,2827391,2833433
Alaska,1993,121156,1191398,1126398
Arizona,1993,676297,3427976,3623946
Arkansas,1993,311432,1346909,1376067
California,1993,5129788,28043338,28110986
Colorado,1993,539538,3058326,3028305
Connecticut,1993,471918,4064158,4079943
Delaware,1993,104355,683954,694534
District of Columbia,1993,80937,721151,719440
Florida,1993,1980569,11370156,11425183
Georgia,1993,893557,4716559,4647974
Hawaii,1993,177448,1062475,1063090
Idaho,1993,231632,890835,899819
Illinois,1993,1856841,10584624,10744695
Indiana,1993,958052,5833420,5668599
Iowa,1993,493957,2880731,2889377
Kansas,1993,451469,2386945,2522542
Kentucky,1993,489281,2381148,2283431
Louisiana,1993,795719,3438321,3427102
Maine,1993,211511,1368095,1321846
Maryland,1993,751850,4918010,4898895
Massachusetts,1993,862495,6121612,5679261
Michigan,1993,1600650,11034174,11430958
Minnesota,1993,781566,4862635,5290504
Mississippi,1993,329408,1170109,1167032
Missouri,1993,834636,4196601,4234845
Montana,1993,158875,813998,833435
Nebraska,1993,281354,1625242,1642376
Nevada,1993,222846,1148268,1265367
New Hampshire,1993,177722,1109743,1091814
New Jersey,1993,653488,6747567,6641624
New Mexico,1993,281407,1217194,1223185
New York,1993,2663637,22688753,23934282
North Carolina,1993,1112636,5583166,5475174
North Dakota,1993,118793,580148,588983
Ohio,1993,1834239,10841606,10385253
Oklahoma,1993,312817,1436505,1428916
Oregon,1993,509814,3141217,3149126
Pennsylvania,1993,1719829,12269422,12809067
Rhode Island,1993,138939,919594,901540
South Carolina,1993,631613,3031112,2994038
South Dakota,1993,107050,465650,481665
Tennessee,1993,844668,3268642,3286481
Texas,1993,3535333,20267205,18574871
Utah,1993,462323,1638305,1665011
Vermont,1993,97454,837540,809853
Virginia,1993,1032842,5918536,5955333
Washington,1993,896197,5270961,5791436
West Virginia,1993,317719,1832154,1829848
Wisconsin,1993,829085,5357945,5640718
Wyoming,1993,100313,615130,614807
Alabama,1994,730004,2970223,3103266
Alaska,1994,123868,1052282,1116160
Arizona,1994,708482,3566586,3803379
Arkansas,1994,312695,1393287,1445984
California,1994,4120498,23440845,23012688
Colorado,1994,549570,3061865,3113755
Connecticut,1994,479522,4268860,4132350
Delaware,1994,103782,705798,732323
District of Columbia,1994,80678,735720,769818
Florida,1994,2039884,12315950,12469073
Georgia,1994,1235304,6824191,6597359
Hawaii,1994,181212,1133949,1146267
Idaho,1994,236774,949999,974781
Illinois,1994,1875956,11309803,10743708
Indiana,1994,963071,6121754,6061435
Iowa,1994,497925,2987394,2974072
Kansas,1994,457744,2700587,2643192
Kentucky,1994,490069,2491948,2392549
Louisiana,1994,798312,3571864,3539581
Maine,1994,211731,1357116,1338353
Maryland,1994,772638,5141505,5187683
Massachusetts,1994,877384,6410757,6391131
Michigan,1994,1601845,11762546,12023935
Minnesota,1994,802913,5262482,5581140
Mississippi,1994,503374,1911579,1919812
Missouri,1994,852324,4488359,4575564
Montana,1994,163968,878986,878084
Nebraska,1994,283962,1710913,1769248
Nevada,1994,235800,1266549,1344245
New Hampshire,1994,181688,1145147,1119762
New Jersey,1994,651554,6957898,6765105
New Mexico,1994,286759,1342868,1223759
New York,1994,2702937,23933662,25359726
North Carolina,1994,1131662,5648390,5740906
North Dakota,1994,118778,603902,621313
Ohio,1994,1816817,10735756,10780138
Oklahoma,1994,316322,1518540,1529205
Oregon,1994,518425,3088542,3191792
Pennsylvania,1994,1720681,13271564,13701725
Rhode Island,1994,144918,1012987,994885
South Carolina,1994,634415,3179542,3156251
South Dakota,1994,108439,507927,525289
Tennessee,1994,857014,3535898,3661470
Texas,1994,3601627,19713604,19224149
Utah,1994,469811,1792011,1846448
Vermont,1994,98377,892124,869710
Virginia,1994,1044721,6125739,6276362
Washington,1994,915952,5739012,5968590
West Virginia,1994,313750,1854403,1843973
Wisconsin,1994,843747,5682439,5860230
Wyoming,1994,100899,674921,623146
Alabama,1995,727480,3367437,3353363
Alaska,1995,125421,1117068,1203817
Arizona,1995,735018,3815218,4056279
Arkansas,1995,447757,2057550,2155067
California,1995,5299405,29512214,30097549
Colorado,1995,639805,3709875,3766191
Connecticut,1995,489513,4420632,4252186
Delaware,1995,106813,802018,772669
District of Columbia,1995,80450,700111,708224
Florida,1995,2107514,13242710,13473977
Georgia,1995,1270948,7052825,7292267
Hawaii,1995,183869,1173579,1157159
Idaho,1995,240448,1083215,1108075
Illinois,1995,1897161,12236673,11821661
Indiana,1995,966622,6514934,6377558
Iowa,1995,498837,3076971,3100772
Kansas,1995,460905,2826943,2756682
Kentucky,1995,639992,3508673,3415870
Louisiana,1995,797061,3791795,3735603
Maine,1995,212154,1446745,1438795
Maryland,1995,790938,5580123,5610071
Massachusetts,1995,893727,7326904,6706082
Michigan,1995,1604527,12500208,12477806
Minnesota,1995,816695,5744447,6155324
Mississippi,1995,503301,2118973,2160068
