"state","year","income"
"United States",2020,"67,521"
"Alabama",2020,"54,393"
"Alaska",2020,"74,476"
"Arizona",2020,"66,628"
"Arkansas",2020,"50,540"
"California",2020,"77,358"
"Colorado",2020,"82,611"
"Connecticut",2020,"79,043"
"Delaware",2020,"69,132"
"District of Columbia",2020,"88,311"
"Florida",2020,"57,435"
"Georgia",2020,"58,952"
"Hawaii",2020,"80,729"
"Idaho",2020,"66,499"
"Illinois",2020,"73,753"
"Indiana",2020,"66,360"
"Iowa",2020,"68,469"
"Kansas",2020,"72,815"
"Kentucky",2020,"56,525"
"Louisiana",2020,"50,935"
"Maine",2020,"63,440"
"Maryland",2020,"94,384"
"Massachusetts",2020,"86,725"
"Michigan",2020,"63,829"
"Minnesota",2020,"78,461"
"Mississippi",2020,"44,966"
"Missouri",2020,"61,901"
"Montana",2020,"56,442"
"Nebraska",2020,"72,024"
"Nevada",2020,"60,956"
"New Hampshire",2020,"88,235"
"New Jersey",2020,"85,239"
"New Mexico",2020,"50,822"
"New York",2020,"68,304"
"North Carolina",2020,"60,266"
"North Dakota",2020,"63,657"
"Ohio",2020,"60,110"
"Oklahoma",2020,"52,341"
"Oregon",2020,"76,554"
"Pennsylvania",2020,"70,117"
"Rhode Island",2020,"80,012"
"South Carolina",2020,"60,097"
"South Dakota",2020,"69,787"
"Tennessee",2020,"54,665"
"Texas",2020,"68,093"
"Utah",2020,"83,670"
"Vermont",2020,"66,902"
"Virginia",2020,"81,947"
"Washington",2020,"81,083"
"West Virginia",2020,"51,615"
"Wisconsin",2020,"67,094"
"Wyoming",2020,"65,108"
"United States",2019,"68,703"
"Alabama",2019,"56,200"
"Alaska",2019,"78,394"
"Arizona",2019,"70,674"
"Arkansas",2019,"54,539"
"California",2019,"78,105"
"Colorado",2019,"72,499"
"Connecticut",2019,"87,291"
"Delaware",2019,"74,194"
"District of Columbia",2019,"93,111"
"Florida",2019,"58,368"
"Georgia",2019,"56,628"
"Hawaii",2019,"88,006"
"Idaho",2019,"65,988"
"Illinois",2019,"74,399"
"Indiana",2019,"66,693"
"Iowa",2019,"66,054"
"Kansas",2019,"73,151"
"Kentucky",2019,"55,662"
"Louisiana",2019,"51,707"
"Maine",2019,"66,546"
"Maryland",2019,"95,572"
"Massachusetts",2019,"87,707"
"Michigan",2019,"64,119"
"Minnesota",2019,"81,426"
"Mississippi",2019,"44,787"
"Missouri",2019,"60,597"
"Montana",2019,"60,195"
"Nebraska",2019,"73,071"
"Nevada",2019,"70,906"
"New Hampshire",2019,"86,900"
"New Jersey",2019,"87,726"
"New Mexico",2019,"53,113"
"New York",2019,"71,855"
"North Carolina",2019,"61,159"
