year,belowGrade9 (age 25-34),grade9To12  (age 25-34),hsDegree  (age 25-34),collegeNoCredential  (age 25-34),certification  (age 25-34),certificate  (age 25-34),associateDegree  (age 25-34),bachelorDegree  (age 25-34),graduateDegree  (age 25-34),belowGrade9 (age 25-64),grade9To12  (age 25-64),hsDegree  (age 25-64),collegeNoCredential  (age 25-64),certification  (age 25-64),certificate  (age 25-64),associateDegree  (age 25-64),bachelorDegree  (age 25-64),graduateDegree  (age 25-64)
2005,,,,,,,,,,7561816,13165356,44510641,32530588,,,12947284,29214199,16212729
2006,,,,,,,,,,8118333,13529822,46847383,32496368,,,13346144,29913363,16487668
2007,,,,,,,,,,8098399,13247480,47088849,32648413,,,13472478,30587338,16925243
2008,1877964,3708573,10281473,9575790,,,3398024,8620179,3403850,8272291,12870147,44261381,36072643,,,13694128,30976300,17102104
2009,1799658,3679511,10303729,9806816,,,3402073,9225294,3698044,8230528,12765795,44488662,36385631,,,13776706,31379027,17455491
2010,1782484,3560936,10133060,9680898,,,3437175,9127478,3732808,8214521,12728943,44863185,36493702,,,14022583,31770055,17661631
2011,1674791,3439561,10229500,9824917,,,3601591,9346453,3895150,8120166,12557492,45060464,36602064,,,14364830,32224617,18035454
2012,1615363,3346585,10214005,9976254,,,3704019,9603023,4098261,7952720,12257506,44568005,36709602,,,14714342,32785407,18453542
2013,1624293,3293543,10294213,9937000,,,3770613,9857562,4289039,8036757,12118622,44352066,36425337,,,14918374,33330971,18882253
2014,1551616,3204494,10483591,10004939,,,3870699,10194371,4443879,8038909,11933949,44646589,36262031,,8295425,15129940,33921446,19361533
2015,1471909,3097253,10651069,10097200,,,3907625,10556159,4537786,8026537,11869641,44766258,36060501,,8353041,15315740,34756069,19675498
2016,1400637,3024618,10626149,10106267,,,4028312,10903287,4714107,7819611,11765188,44327170,35839679,,8891304,15521786,35431783,20281410
2017,1277440,2843756,10919725,10061674,,,4124117,11220658,4915022,7477802,11453170,44692392,35450783,,8950203,15817039,36245285,20982820
2018,1219249,2700803,11060920,10083232,,,4127635,11542934,4991346,7335275,11147273,44279529,35224434,6480831,7480534,15912573,36839343,21624120
2019,1195356,2621929,11244266,9848336,,,4090108,11867120,5096890,7225314,10890953,44358958,34500370,6483992,7484182,15915518,37597650,21957847
